#virus	bacteria	score
NC_009819	NC_007297	1
NC_009819	NC_020540	1
NC_009819	NC_018712	1
NC_009819	NC_002737	1
NC_009810	NC_017537	2
NC_009810	NC_017529	2
NC_009810	NC_018592	2
NC_009810	NC_018591	2
NC_009810	NC_017545	2
NC_009810	NC_022568	2
NC_009810	NC_021838	2
NC_009810	NC_021826	2
NC_009810	NC_018587	2
NC_009810	NC_011660	2
NC_009810	NC_003212	1
NC_009810	NC_021823	1
NC_009810	NC_017547	1
NC_009810	NC_017544	1
NC_009812	NC_021823	4
NC_009812	NC_017547	4
NC_009812	NC_013768	3
NC_009812	NC_018592	3
NC_009812	NC_022568	3
NC_009812	NC_013766	3
NC_009812	NC_017544	3
NC_009812	NC_021837	2
NC_009812	NC_018593	2
NC_009812	NC_017545	1
NC_009813	NC_021823	3
NC_009813	NC_021837	3
NC_009813	NC_017547	3
NC_009813	NC_018592	2
NC_009813	NC_022568	2
NC_009813	NC_018589	1
NC_009813	NC_017537	1
NC_009813	NC_003212	1
NC_009813	NC_003210	1
NC_009813	NC_013768	1
NC_009813	NC_017529	1
NC_009813	NC_018591	1
NC_009813	NC_021838	1
NC_009813	NC_017546	1
NC_009813	NC_013766	1
NC_009813	NC_018588	1
NC_009813	NC_021826	1
NC_009813	NC_017544	1
NC_009813	NC_018587	1
NC_009813	NC_011660	1
NC_009814	NC_017545	1
NC_009814	NC_021837	1
NC_009815	NC_021823	3
NC_009815	NC_021838	3
NC_009815	NC_017547	3
NC_009815	NC_018592	2
NC_009815	NC_018591	2
NC_009815	NC_022568	2
NC_009815	NC_021826	2
NC_009815	NC_017544	2
NC_009815	NC_018587	2
NC_009815	NC_013768	1
NC_009815	NC_021837	1
NC_009815	NC_013766	1
NC_009935	NC_022513	1
NC_010147	NC_016941	1
NC_010179	NC_013119	1
NC_010179	NC_017477	1
NC_010326	NC_013119	1
NC_010353	NC_017927	3
NC_010353	NC_017563	1
NC_010353	NC_006448	1
NC_010237	NC_022592	1
NC_010808	NC_016941	1
NC_011105	NC_013119	1
NC_011107	NC_013119	1
NC_011104	NC_013198	2
NC_011104	NC_017482	2
NC_011222	NC_016776	2
NC_011357	NC_012731	1
NC_011356	NC_012731	1
NC_011373	NC_018080	1
NC_011373	NC_008463	1
NC_010392	NC_011094	1
NC_011398	NC_009089	5
NC_011398	NC_013316	2
NC_011398	NC_017179	2
NC_011398	NC_017178	2
NC_011398	NC_013315	2
NC_011398	NC_017177	1
NC_011398	NC_017175	1
NC_011611	NC_008463	2
NC_011611	NC_017548	1
NC_011611	NC_021577	1
NC_011612	NC_016941	1
NC_011613	NC_017548	3
NC_011613	NC_023149	2
NC_011613	NC_011770	2
NC_011613	NC_023066	2
NC_011613	NC_018080	1
NC_011613	NC_008463	1
NC_011613	NC_021577	1
NC_011802	NC_018106	1
NC_011802	NC_013282	1
NC_011976	NC_020064	1
NC_011976	NC_012731	1
NC_011976	NC_021870	1
NC_011976	NC_016818	1
NC_012697	NC_013119	1
NC_012756	NC_009785	1
NC_013059	NC_016818	3
NC_013059	NC_020064	1
NC_013059	NC_012731	1
NC_013059	NC_021870	1
NC_013195	NC_016941	1
NC_013598	NC_017563	3
NC_013598	NC_017581	1
NC_013598	NC_006449	1
NC_013648	NC_018221	1
NC_013646	NC_019770	1
NC_013645	NC_017563	5
NC_013645	NC_017927	2
NC_013645	NC_017581	2
NC_013645	NC_006448	1
NC_013692	NC_013119	1
NC_014036	NC_017910	2
NC_014900	NC_016818	2
NC_014900	NC_013282	1
NC_015262	NC_013316	3
NC_015262	NC_017179	3
NC_015262	NC_017178	3
NC_015262	NC_013315	3
NC_015262	NC_009089	2
NC_015568	NC_009089	4
NC_015568	NC_013316	4
NC_015568	NC_017179	4
NC_015568	NC_017178	4
NC_015568	NC_013315	4
NC_015568	NC_017175	1
NC_016071	NC_022592	2
NC_016160	NC_012731	1
NC_016165	NC_014034	1
NC_016761	NC_022592	1
NC_016761	NC_018522	1
NC_016762	NC_021577	2
NC_016762	NC_023149	2
NC_016762	NC_018080	1
NC_016762	NC_009656	1
NC_016765	NC_021577	1
NC_016770	NC_016776	1
NC_016770	NC_003228	1
NC_018853	NC_022350	1
NC_018853	NC_020089	1
NC_018853	NC_020559	1
NC_018859	NC_011071	1
NC_019401	NC_012917	1
NC_019421	NC_009089	4
NC_019421	NC_013316	2
NC_019421	NC_017179	2
NC_019421	NC_017178	2
NC_019421	NC_013315	2
NC_019421	NC_017175	1
NC_019422	NC_013316	1
NC_019422	NC_017179	1
NC_019422	NC_017177	1
NC_019422	NC_017178	1
NC_019422	NC_013315	1
NC_019442	NC_017634	1
NC_019442	NC_011993	1
NC_019445	NC_017634	1
NC_019445	NC_011993	1
NC_019456	NC_017469	1
NC_019456	NC_013119	1
NC_019457	NC_009457	1
NC_019457	NC_012582	1
NC_019490	NC_009012	1
NC_019490	NC_020125	1
NC_019500	NC_013119	1
NC_019501	NC_020064	1
NC_019501	NC_012731	1
NC_019513	NC_016941	1
NC_019518	NC_009457	1
NC_019518	NC_012582	1
NC_019398	NC_017910	1
NC_019400	NC_022592	2
NC_019538	NC_017566	1
NC_019538	NC_013119	1
NC_005178	NC_017548	4
NC_005178	NC_021577	3
NC_005178	NC_018080	2
NC_005178	NC_008463	2
NC_005178	NC_023149	2
NC_005178	NC_011770	2
NC_005178	NC_023066	2
NC_004775	NC_009436	1
NC_004775	NC_013850	1
NC_008717	NC_017548	2
NC_008717	NC_008463	1
NC_008717	NC_021577	1
NC_009818	NC_008463	2
NC_009818	NC_017548	1
NC_009818	NC_018080	1
NC_019813	NC_013119	1
NC_019927	NC_017933	3
NC_019927	NC_013282	2
NC_019927	NC_023032	1
NC_019931	NC_017566	1
NC_017971	NC_013119	1
NC_020197	NC_006449	3
NC_020197	NC_017563	2
NC_020197	NC_008532	1
NC_020197	NC_006448	1
NC_020080	NC_017910	3
NC_018086	NC_018221	1
NC_020489	NC_014034	4
NC_009811	NC_018591	5
NC_009811	NC_021838	5
NC_009811	NC_021826	5
NC_009811	NC_018587	5
NC_009811	NC_017545	1
NC_020876	NC_022350	1
NC_020876	NC_020089	1
NC_020876	NC_020559	1
NC_021326	NC_016941	1
NC_021332	NC_016941	1
NC_021323	NC_016941	1
NC_021774	NC_014500	1
NC_004348	NC_013119	1
NC_004348	NC_021870	1
NC_004348	NC_016818	1
NC_005856	NC_011751	1
